C:\Program Files\nodejs\node.exe --max-old-space-size=4096 .\main.js
Shape Processing Unit 0.2.0
Thu Jul 08 2021 03:41:11 GMT-0700 (Pacific Daylight Time)

Searching for shapes...
Max program length: 16
Input data: [0001,0001,0001,0001,0001]
 399000000 IUIISRILSCI1RS [0004,0008,0045]
 400000000 IUIISLI1I3LX21 [0088,0001,0001]
 401000000 IUIISIXI12RXXL [0008]
 402000000 IUIISIILSCR3LX [0011,0008,0002]
 403000000 IUIIXR1U1SLCLX [0008]
 404000000 IUIIXL1IIU1X2R [0004,0004,0001]
 405000000 IUIIXIRIU33LS2 [0004,000c,0002]
 406000000 IUIIR22IR2LXR1 [0002,0004,0001]
 407000000 IUIIR2R22LXU1C [0004,0008]
 408000000 IUIIR2LI23L3LC [0001,0002,0008,0001]
 409000000 IUIIR2IL3US2SX [0004]
 410000000 IUIIR1XRI2SI2U [0005,0001,0001]
 411000000 IUIIR1L2II2L14 [0008,0001,0002,0001,0002]
 412000000 IUIIR1IU2LI34R [0004,0001,0001,0001,0008]
 413000000 IUIIRSL1LIIS2 [0002,0011,0009]
 414000000 IUIIRXUIRISUSU [0004,0031]
 415000000 IUIIRI3RXL2XIU [0002,0008,0004]
 416000000 IUIIRI2L31RX1L [0002,0004,0008]
 417000000 IUIIRIS2R2RSI [0003,000a,0001]
 418000000 IUIIRIR2XR1S1S [0046]
 419000000 IUIIRIUXUIU21X [0004,0008,0001]
 420000000 IUIIRII44S2XLS [0002,000b]
 421000000 IUIIU22L2I1XRI [0004,0008,0002,0001]
 422000000 IUIIU2RIIR2R3U [0001,0001,0002,0001,0001]
 423000000 IUIIU2I2I4X3R1 [0001,0004,0008,0001]
 424000000 IUIIU1SILISUCL [0004,0005,0004,0001]
 425000000 IUIIU1LS1IX1X [0004]
 426000000 IUIIU1IL13I43R [0008,0004,0001,0004,0002]
 427000000 IUIIUSLIR1LIX [0004,0002,0005]
 428000000 IUIIUX1IR2USCS [0004,0006]
 429000000 IUIIUI3XSXIR1R [0002,0002]
 430000000 IUIIUI2RIU3RXL [0004,0001,0002,0002]
 431000000 IUIIUI1IS31CU2 [0001,0001,0004,0004,0004]
 432000000 IUIIUIR3LIU1RC [0001,0004,0002,0004,0004]
 433000000 IUIIUIUX22XUIC [0004,0001,0001]
 434000000 IUIIUILILSR1C [0004,0001,0011,0004]
 435000000 IUIIL22UIRXSLC [0008,0022]
 436000000 IUIIL2XLI1ISXS [0011]
 437000000 IUIIL2LSIILX1L [0001,0001,0005]
 438000000 IUIIL2IU2LSL1U [0001,0022,0001]
 439000000 IUIIL1SIUSUIS [0004,0017]
 440000000 IUIIL1UIR2U1 [0004,0004,0002,0002]
 441000000 IUIIL1IRISLSC2 [0004,0008,0011,0008]
 442000000 IUIILSUCIU2LXR [0004,0002,0008]
 443000000 IUIILSIR1R1LXX [0004]
 444000000 IUIILXIIL2XSLC [0004,000c]
 445000000 IUIILI23SSR1IU [00a2,0008,0004]
 446000000 IUIILI1SR2SXRC [0002]
 447000000 IUIILISI1CL21R [0004,0001,0008,0001,0001]
 448000000 IUIILIRXU2LI2U [0001,0002,0001,0008]
 449000000 IUIILIL31XIX2L [0008,0004,0008]
 450000000 IUIILIIX23SRSU [0008,000e]
 451000000 IUIII33IL1XS11 [0001,0001,000c]
 452000000 IUIII31UIL1XSX [0001,0001]
 453000000 IUIII3R33SI3 [0008,0011,0001,0001]
 454000000 IUIII3L3I3RX2U [0001,0001,0001,0008]
 455000000 IUIII3ISSCU13X [0001,0044,0004]
 456000000 IUIIIS1IR2LSLS [0004,0451]
 457000000 IUIIISI1USSLXU [0001]
 458000000 IUIIIXL21XSC [0004,0001]
 459000000 IUIIIR3RX1IL2L [0001,0001,0008,0001]
 460000000 IUIIIR2UIX3R2C [0001,0004,0008,0002]
 461000000 IUIIIR1LXLSRX [0004]
 462000000 IUIIIRI4U21S1U [0001,0001,0003,0004]
 463000000 IUIIIU3S2IU2RC [0001,0001,0004,0088]
 464000000 IUIIIU2R3SCXIC [0001,0004,0004,0001]
 465000000 IUIIIU1U22R2XS [0004,0009]
 466000000 IUIIIUXSRI1USX [0004]
 467000000 IUIIIUIL3R4LXU [0001,0004,0008,0008]
 468000000 IUIIIL3IR1L4S3 [0008,0002,0003,0001]
 469000000 IUIIIL13LXRI3R [0008,0002,0001,0002]
 470000000 IUIIILSSIUSCX [0004,0084]
